StudentID,Group
A15600406,0
A15939512,0
A15585639,0
A15430318,0
A13641119,0
A15883913,0
A16076542,1
A15498776,1
A15316485,1
A15520395,1
A15724489,1
A15570119,1
A16068976,2
A15427804,2
A15072300,2
A15431969,2
A15535999,2
A15754061,2
A14423280,3
A15670264,3
A15421981,3
A14498203,3
A15071719,3
A12864749,3
A15628146,4
A15752958,4
A15559804,4
A14339013,4
A14993193,4
A15697622,4
A15947364,5
A15584259,5
A15414703,5
A15581936,5
A15730835,5
A15440484,5
A14452168,6
A16105613,6
A15590353,6
A15607672,6
A15498871,6
A15752722,6
A13867956,7
A15725799,7
A15115242,7
A15569434,7
A15548097,7
A15884700,7
A14554206,8
A15444091,8
A15566415,8
A15753912,8
A14631770,8
A16175600,8
A16114889,9
A14883020,9
A15991615,9
A15615681,9
A14882872,9
A15367986,9
A15939187,10
A16056155,10
A15608304,10
A15654253,10
A15650395,10
A16061676,10
A15508204,11
A12924282,11
A13426347,11
A99048591,11
A15013827,11
A15548477,11
A14518985,12
A15410604,12
A15482448,12
A14966048,12
A15633365,12
A14852212,12
A15548136,13
A15385532,13
A15578823,13
A15411948,13
A15592871,13
A15054708,13
A15479499,14
A16071576,14
A15471152,14
A14955335,14
A15430496,14
A15470755,14
A14997940,15
A15583368,15
A15411849,15
A15552970,15
A13832741,15
A15592650,15
A16060200,16
A14425127,16
A15397529,16
A14720234,16
A15662196,16
A15627968,16
A15006526,17
A14720386,17
A16111064,17
A15699314,17
A15571525,17
A15522326,17
A16053152,18
A15443218,18
A15614008,18
A14353395,18
A16109847,18
A06824201,18
A15653719,19
A15359513,19
A14854419,19
A14976629,19
A15584389,19
A15143973,19
A15493257,20
A16175863,20
A15774590,20
A16047574,20
A16082977,20
A15728591,20
A15405768,21
A15490475,21
A14133645,21
A16112711,21
A15579920,21
A15388728,21
A14196781,22
A15312036,22
A15452585,22
A15516234,22
A15608282,22
A15481687,22
A15527809,23
A15453831,23
A14534306,23
A14907343,23
A14227191,23
A15579051,23
A15618220,24
A15575572,24
A15832245,24
A15754235,24
A15468909,24
A15491621,24
A15428331,25
A15897974,25
A15485795,25
A14645764,25
A15798587,25
A15160910,25
A15503591,26
A15894466,26
A15820193,26
A15550423,26
A14935612,26
A15381789,26
A15630289,27
A15501930,27
A16061925,27
A15385075,27
A14535553,27
A16010471,27
A16097253,28
A15963882,28
A15626025,28
A15050058,28
A15490376,28
A14974971,28
A15515209,29
A14522982,29
A15636116,29
A16114559,29
A16081238,29
A16080153,29
A14909624,30
A14428755,30
A15524458,30
A15423377,30
A15896234,30
A15847181,30
A15665143,31
A15446173,31
A15535490,31
A15807086,31
A15017999,31
A15577451,31
